context,estimate,std_error,conf_low,conf_high,statistic,p_value,df
No populist in pre-election government,0.273565506130577,0.07134283826574722,0.12560951526341113,0.4215214969977429,3.834519522640298,0.0009022164084351726,22.0
Populist in pre-election government,-0.22070714092158517,0.13169552178835048,-0.493826936722013,0.05241265487884267,-1.6758894905802977,0.10791561682943349,22.0
