Hypothesis,Log-odds β,β low,β high,Odds ratio,AME,AME low,AME high,p
H1: political distrust,0.076,-0.150,0.303,1.079,1.13 pp,-2.19 pp,4.45 pp,0.491
H2: people's views prevail,0.063,0.036,0.090,1.065,0.93 pp,0.54 pp,1.33 pp,<.001
