model,n,countries,parameters,kish_effective_n,weighted_brier,weighted_log_loss
M2,27663,23,33,13731.882455446354,0.1491324040108929,0.4558671622453655
M3,27663,23,35,13731.882455446354,0.14877894460119698,0.4543611229600355
