item,observed_n,missing_n,missing_share,mean,sd,weighted_mean,share_0,share_10
distrust_prl,32506,254,0.007753357753357754,5.0693102811788595,2.65255559605654,5.3633224164417985,0.02861010275026149,0.08315387928382452
distrust_plt,32587,173,0.005280830280830281,6.175775616043207,2.4613700987220453,6.4614636233701885,0.007272838862122932,0.13575965875962806
distrust_prt,32518,242,0.007387057387057387,6.182975582754167,2.4024677941142927,6.442604158664722,0.007226766713820038,0.12509994464604218
