cntry,classifiable,populist,non_populist
AT,1285,113.0,1172.0
BE,828,80.0,748.0
BG,1375,821.0,554.0
CH,636,167.0,469.0
CZ,1311,504.0,807.0
DE,5397,295.0,5102.0
EE,900,120.0,780.0
ES,1371,267.0,1104.0
FI,1077,146.0,931.0
FR,795,157.0,638.0
GR,1703,568.0,1135.0
HR,652,96.0,556.0
HU,1003,672.0,331.0
IE,1041,283.0,758.0
IS,589,62.0,527.0
IT,1021,545.0,476.0
LV,566,29.0,537.0
NL,1116,146.0,970.0
NO,1032,89.0,943.0
PL,1348,564.0,784.0
SE,1737,221.0,1516.0
SI,555,405.0,150.0
SK,751,531.0,220.0
