component,eigenvalue,variance_share,loading_distrust_prl,loading_distrust_plt,loading_distrust_prt
PC1,2.5343468347469402,0.8447822782489802,0.8768267358883707,0.9458974247048557,0.9331665295728334
PC2,0.33411106614617203,0.11137035538205736,-0.47973866776071666,0.1824189223246618,0.26586690952289216
PC3,0.13154209910688736,0.04384736636896246,0.03202633114357692,-0.26833076363814423,0.2418987691282031
