variable,distrust_prl,distrust_plt,distrust_prt,viepol,wpestop
distrust_prl,1.0,0.7320508595844086,0.6983589351392357,0.1301716238646734,0.07562281609160489
distrust_plt,0.7320508595844086,1.0,0.8664083138390768,0.11262759010715948,0.07977148325260651
distrust_prt,0.6983589351392357,0.8664083138390768,1.0,0.09796621974330273,0.06929142616530834
viepol,0.1301716238646734,0.11262759010715948,0.09796621974330273,1.0,0.5403875091036817
wpestop,0.07562281609160489,0.07977148325260651,0.06929142616530834,0.5403875091036817,1.0
