model,term,estimate_log_odds,std_error,conf_low,conf_high,statistic,p_value,df,odds_ratio,odds_ratio_low,odds_ratio_high
M2,distrust_index_three,0.07710295034337147,0.11024358391120756,-0.1515282492392994,0.3057341499260423,0.6993871897839585,0.4916392335544265,22.0,1.0801532728189776,0.8593936047144254,1.3576213348355677
M2,viepol,0.061777101598532655,0.013766706663954057,0.033226699414423466,0.09032750378264184,4.4874277564354745,0.00018341753615656723,22.0,1.0637252156510002,1.033784871103773,1.0945326886082705
M3,distrust_index_three,0.0732376983954312,0.1064191990848626,-0.14746221249458202,0.29393760928544443,0.6882000524832813,0.4985198595893047,22.0,1.0759862667293236,0.8628950443564849,1.3417001914219029
M3,viepol,0.014799054152600742,0.015342617742445186,-0.017019587574602785,0.04661769587980427,0.9645716527016976,0.3452433080247319,22.0,1.0149091023541148,0.9831244274232432,1.0477213843022477
M3,wpestop,0.053345154346144966,0.023207346548477916,0.005216063361741179,0.10147424533054875,2.2986322126362904,0.03139934615312101,22.0,1.0547936489092042,1.0052296907036284,1.1068014127203274
M3,votedir,0.051210662642636906,0.04470629085739334,-0.0415045099323951,0.1439258352176689,1.1454911973348803,0.2643141676031068,22.0,1.0525446017568367,0.9593450087505829,1.1547984599724797
