check,label,n,countries,events,weighted,statistic_f,numerator_df,denominator_df,chi_square,p_value,weighted_brier,weighted_log_loss,beta_distrust_index_three,beta_viepol,beta_wpestop,beta_votedir,beta_distrust_index_two_plus
H2B,M3 extended model,27663,23,6756,True,15.825299511867122,2.0,22.0,31.650599023734244,5.51225322509702e-05,0.14877894460119698,0.4543611229600355,0.0732376983954312,0.014799054152600742,0.053345154346144966,0.051210662642636906,
U,Unweighted,27663,23,6756,False,12.205287256799254,2.0,22.0,24.410574513598508,0.00027155831104698545,0.13909299599276884,0.4281264722483193,0.10543527695734668,0.004347817366420364,0.04328558760454934,0.058501778347426335,
D2,Distrust index from 2+ items,27888,23,6817,True,17.358890765188583,2.0,22.0,34.71778153037717,2.9904593220991624e-05,0.14870238227068822,0.4542001018314715,,0.013129935304700658,0.055401456848174116,0.04994711456279563,0.07326218290561969
MODE,Add categorical survey mode,27618,23,6747,True,14.139315766891045,2.0,22.0,28.27863153378209,0.00011257230361969931,0.14836173792903237,0.4536116981204121,0.07611648885120732,0.014374073429509906,0.04995512415155106,0.04947156260127306,
BORD,Borderline-inclusive classification,27663,23,8139,True,24.52966766995595,2.0,22.0,49.0593353399119,2.50505311379488e-06,0.1640518942659875,0.4983442439606433,0.08287032820510164,0.02212444873789403,0.04855008654483734,0.05128588135523419,
