variable,observed_n,missing_n,missing_share
trstprl,32506,254,0.007753357753357754
trstplt,32587,173,0.005280830280830281
trstprt,32518,242,0.007387057387057387
viepol,31898,862,0.026312576312576313
wpestop,32053,707,0.02158119658119658
votedir,32290,470,0.014346764346764346
agea,32380,380,0.0115995115995116
gndr,32527,233,0.007112332112332112
eisced,32457,303,0.00924908424908425
polintr,32697,63,0.0019230769230769232
anweight,32760,0,0.0
mode,32689,71,0.0021672771672771674
