mode_label,n,populist_share
CAPI face-to-face,18079,0.30040378339509927
CAWI self-completion,8140,0.09348894348894349
paper self-completion,5051,0.1672936052266878
web-video interview,1419,0.16279069767441862
,71,0.15492957746478872
