model,model_label,term,term_label,weighting,estimate,std_error,conf_low,conf_high,statistic,p_value,df
M1,H1 adjusted,distrust_index_three,Political distrust,anweight,0.012450723502831048,0.016162285941291155,-0.021067806026576538,0.04596925303223863,0.7703565911442103,0.4492824330265035,22.0
M2,H2a adjusted,distrust_index_three,Political distrust,anweight,0.01129097787837759,0.015989541727697853,-0.021869302078822584,0.04445125783557777,0.7061476851971821,0.4875077616627483,22.0
M2,H2a adjusted,viepol,People's views should prevail,anweight,0.009339588104446775,0.0018958312614769757,0.005407874709979161,0.013271301498914388,4.92638152678769,6.2974769601756e-05,22.0
S1,Expanded: + political interest,distrust_index_three,Political distrust,anweight,0.009946921153396548,0.016329930605693724,-0.02391928213049333,0.04381312443728643,0.6091220712186233,0.5486827229849544,22.0
S1,Expanded: + political interest,viepol,People's views should prevail,anweight,0.009690331805994998,0.001835181328124038,0.005884398674878215,0.013496264937111781,5.280312990052413,2.6795695972760888e-05,22.0
S1-U,Expanded unweighted,distrust_index_three,Political distrust,unweighted,0.014121433663657411,0.00969322768140901,-0.0059810901658785155,0.03422395749319334,1.456835032436246,0.15928768104132202,22.0
S1-U,Expanded unweighted,viepol,People's views should prevail,unweighted,0.007007061745155546,0.0014888773105127884,0.003919319189469695,0.010094804300841396,4.706272098902645,0.00010754144411985011,22.0
