Institution,Parliament (trstprl),Politicians (trstplt),Political parties (trstprt),Legal system (trstlgl),Police (trstplc),European Parliament (trstep),United Nations (trstun),Scientists (trstsci),Other people (ppltrst)
Parliament (trstprl),1.0,0.7320508595844086,0.6983589351392357,0.645768230803357,0.502919779155406,0.526604862112035,0.4962198961582424,0.35811368610423416,0.3563094251456051
Politicians (trstplt),0.7320508595844086,1.0,0.8664083138390768,0.5802202365921145,0.46575429904264165,0.5552253821188783,0.4984646777255018,0.3097236641835187,0.36610173249747746
Political parties (trstprt),0.6983589351392357,0.8664083138390768,1.0,0.549729294567583,0.4317167769339433,0.5602557002264495,0.5044648112853117,0.30590683661965484,0.3542798860760966
Legal system (trstlgl),0.645768230803357,0.5802202365921145,0.549729294567583,1.0,0.6379791633512011,0.4442491844248433,0.4361384626603516,0.3778810104128296,0.3458558268786401
Police (trstplc),0.502919779155406,0.46575429904264165,0.4317167769339433,0.6379791633512011,1.0,0.351627748643065,0.39492019484934143,0.38538562843176594,0.27670498814617994
European Parliament (trstep),0.526604862112035,0.5552253821188783,0.5602557002264495,0.4442491844248433,0.351627748643065,1.0,0.736382834941296,0.46698729680150125,0.2650630714617928
United Nations (trstun),0.4962198961582424,0.4984646777255018,0.5044648112853117,0.4361384626603516,0.39492019484934143,0.736382834941296,1.0,0.49596840028386263,0.27224228803405676
Scientists (trstsci),0.35811368610423416,0.3097236641835187,0.30590683661965484,0.3778810104128296,0.38538562843176594,0.46698729680150125,0.49596840028386263,1.0,0.21168591605369938
Other people (ppltrst),0.3563094251456051,0.36610173249747746,0.3542798860760966,0.3458558268786401,0.27670498814617994,0.2650630714617928,0.27224228803405676,0.21168591605369938,1.0
