term,value,estimate,std_error,conf_low,conf_high,statistic,p_value,df
distrust_index_three,0.0,0.18496276484136595,0.08394136965625938,0.010879019028273457,0.3590465106544585,2.203475659246329,0.038329004480916806,22.0
distrust_index_three,4.0,0.22350192787323198,0.035328973997178374,0.1502341201838021,0.29676973556266184,6.326306784088393,2.2912821914897247e-06,22.0
distrust_index_three,5.0,0.23385660355960683,0.021036707495646706,0.1902291424470104,0.27748406467220327,11.116597196020368,1.7012796561514467e-10,22.0
distrust_index_three,7.333333333333333,0.25909729749671967,0.015491735211676102,0.22696940506612415,0.2912251899273152,16.72487258247471,5.3926907148424834e-14,22.0
distrust_index_three,10.0,0.28971199876551484,0.062323796767732205,0.16046035515939108,0.41896364237163863,4.648497264138304,0.00012380212998660005,22.0
viepol,0.0,0.2319322751099526,0.016563036480334668,0.19758263983067464,0.26628191038923055,14.003004544808334,1.9438447664912485e-12,22.0
viepol,5.0,0.24255464012803649,0.005775595611756691,0.2305767879377096,0.25453249231836333,41.99647212735894,1.6788344270928637e-22,22.0
viepol,6.0,0.24471223939590722,0.003548359202247949,0.23735339281111578,0.25207108598069866,68.9649005210289,3.322753434184748e-27,22.0
viepol,9.0,0.25125043692077825,0.0032715776454582046,0.24446560015230562,0.2580352736892509,76.79794403460936,3.145633587785949e-28,22.0
viepol,10.0,0.25345146743423996,0.005589690575834206,0.24185915869110047,0.26504377617737945,45.34266503587541,3.166356575393398e-23,22.0
wpestop,0.0,0.18979540927200686,0.02382638727189614,0.1403825064033702,0.23920831214064353,7.965765313311919,6.338382972031429e-08,22.0
wpestop,5.0,0.22518412925475317,0.009909153021436686,0.20463380367785583,0.24573445483165052,22.724861425351637,9.086757976870608e-17,22.0
wpestop,7.0,0.2403905832373021,0.003383715630565067,0.23337318652162733,0.2474079799529769,71.04337641906328,1.7338563433082278e-27,22.0
wpestop,10.0,0.2642805203913811,0.0073894550170458565,0.24895572864504142,0.2796053121377208,35.76454823552532,5.4753130858526944e-21,22.0
votedir,0.0,0.19123346801246985,0.04539188862484952,0.09709645269209535,0.2853704833328443,4.2129436294875875,0.00035867694599925364,22.0
votedir,5.0,0.22523318402523013,0.01944291560628408,0.1849110449878267,0.2655553230626335,11.584331721958062,7.800029371621196e-11,22.0
votedir,7.0,0.23979899893924284,0.007365370358235477,0.22452415571815965,0.255073842160326,32.55762945730424,4.169021280696463e-20,22.0
votedir,10.0,0.26264314157352076,0.012479771412463828,0.23676167974761345,0.2885246033994281,21.04550899956494,4.581244938896825e-16,22.0
