measure,measure_label,weighting,voting_group,n,effective_n,mean,sd,se,ci_low,ci_high
distrust_index_three,Political distrust index,weighted,Non-populist-party voters,21208,10784.144101615246,5.883909030454786,2.2635596995994116,0.021797119839952663,5.841187460601776,5.926630600307797
distrust_index_three,Political distrust index,weighted,Populist-party voters,6881,3199.3239079776727,6.5491103954077285,2.2696362688298404,0.040126119035109827,6.470464647259546,6.627756143555911
distrust_index_three,Political distrust index,unweighted,Non-populist-party voters,21208,21208.0,5.525524959134918,2.243941785880418,0.015408548459753167,5.495324759099762,5.555725159170074
distrust_index_three,Political distrust index,unweighted,Populist-party voters,6881,6881.0,6.391997287216005,2.3435541437736918,0.028252000981920995,6.336624382800249,6.4473701916317605
viepol,People's views should prevail (viepol),weighted,Non-populist-party voters,21208,10784.144101615246,7.114627105742878,2.336069856115674,0.022495361892715136,7.070537006613962,7.158717204871794
viepol,People's views should prevail (viepol),weighted,Populist-party voters,6881,3199.3239079776727,7.742210544631797,2.131516585418347,0.037684226942629885,7.668350817039008,7.816070272224585
viepol,People's views should prevail (viepol),unweighted,Non-populist-party voters,21208,21208.0,7.149896265560166,2.355639925230258,0.016175549726838618,7.118192770665425,7.1815997604549064
viepol,People's views should prevail (viepol),unweighted,Populist-party voters,6881,6881.0,7.81616044179625,2.1075184817692287,0.025406545171806624,7.7663645282879195,7.865956355304581
