variable,observed_n,weighted_mean,weighted_sd,weighted_share_8_10,weighted_share_10
viepol,31898,7.44725348832842,2.28959278658252,0.5528615572108239,0.26145599403035563
wpestop,32053,7.760542079700571,2.134792365428827,0.609947253115244,0.29972472080118917
