measure,measure_label,weighting,common_n,non_populist_mean,populist_mean,difference,se,ci_low,ci_high
distrust_prl,Parliament,weighted,24896,5.109424474002825,5.968764221845439,0.8593397478426139,0.05470067639317271,0.752128392182015,0.9665511035032128
distrust_prl,Parliament,unweighted,24896,4.712430034850565,5.975495132594831,1.2630650977442652,0.03940958795297411,1.1858237247108723,1.3403064707776582
distrust_plt,Politicians,weighted,24896,6.4065010908955164,6.96396087535784,0.5574597844623232,0.051578548299505936,0.456367687420432,0.6585518815042145
distrust_plt,Politicians,unweighted,24896,5.972225155771465,6.783987915407855,0.8117627596363901,0.03720761763660426,0.7388371691181084,0.8846883501546718
distrust_prt,Political parties,weighted,24896,6.36921457311684,6.867084310100043,0.497869736983203,0.05083249507437269,0.39823987739312283,0.5974995965732832
distrust_prt,Political parties,unweighted,24896,5.978297602703559,6.686471970459886,0.7081743677563272,0.036298692269389914,0.6370302382224206,0.779318497290234
distrust_lgl,Legal system,weighted,24896,4.3369686076705,5.405054386459576,1.0680857787890758,0.05732768024827995,0.955725590185219,1.1804459673929328
distrust_lgl,Legal system,unweighted,24896,3.942338156088288,5.283820073850285,1.3414819177619974,0.04142977846771073,1.2602810440778114,1.4226827914461835
distrust_plc,Police,weighted,24896,3.4135861553134266,3.7543348145528275,0.3407486592394009,0.05265058689312075,0.2375554051639876,0.4439419133148142
distrust_plc,Police,unweighted,24896,3.1887210898722147,3.9147364887546154,0.7260153988824007,0.038442043550155465,0.6506703780319758,0.8013604197328257
distrust_ep,European Parliament,weighted,24896,5.11474788170606,6.231671722596758,1.1169238408906983,0.05554113885392472,1.0080652090766675,1.225782472704729
distrust_ep,European Parliament,unweighted,24896,5.03210476291055,5.964921114467942,0.932816351557392,0.03926304155794265,0.855862204180325,1.009770498934459
distrust_un,United Nations,weighted,24896,4.742507778538434,5.4220563995014155,0.6795486209629811,0.05446875672186516,0.5727918195054513,0.7863054224205108
distrust_un,United Nations,unweighted,24896,4.567588974548527,5.353810003356831,0.7862210288083045,0.03903583926188179,0.7097121897487215,0.8627298678678874
distrust_sci,Scientists,weighted,24896,2.5102822675565695,3.182576517375396,0.6722942498188265,0.04747096588222445,0.5792528663783368,0.7653356332593161
distrust_sci,Scientists,unweighted,24896,2.5337416833878974,3.2522658610271904,0.718524177639293,0.034178931800554466,0.6515347022801555,0.7855136529984305
distrust_people,Other people,weighted,24896,4.980055684077621,5.651190219407208,0.6711345353295863,0.056281842902012984,0.5608241502580996,0.781444920401073
distrust_people,Other people,unweighted,24896,4.670978984053226,5.568815038603558,0.8978360545503321,0.039430744910961386,0.8205532146412617,0.9751188944594025
