model,model_label,weighting,n,events,countries,parameters,converged,iterations,max_abs_final_score,predicted_min,predicted_p01,predicted_p99,predicted_max,predicted_below_001,predicted_above_999,max_abs_coefficient
M1,H1 adjusted,anweight,28657,7002,23,32,True,2,3.1867841698840493e-12,0.011221203403868613,0.01956212039696425,0.7986471327964142,0.8981623040995007,0,0,3.94892690874322
M2,H2a adjusted,anweight,28089,6881,23,33,True,2,2.021049994027635e-12,0.009433699499089758,0.018446879411890094,0.8003737697315064,0.9068018749625988,0,0,3.8492372710126728
S1,Expanded: + political interest,anweight,28040,6865,23,36,True,2,2.4513724383723456e-12,0.009165766243762965,0.018989149284254873,0.8077825913660759,0.9005972491937411,0,0,3.828384473083433
S1-U,Expanded unweighted,unweighted,28040,6865,23,36,True,2,8.668621376273222e-13,0.009455264617702831,0.01840578166895997,0.8107181689478314,0.9038177647257409,0,0,3.8791429870755176
