variable,concept,eligible_n,valid_n,missing_n,missing_share,mean,sd,median,min,max,floor_share_0,ceiling_share_10,upper_share_8_10
viepol,People-over-elite priority (viepol),29749,29000,749,0.02517731688460116,7.311068965517241,2.321238039228678,8.0,0.0,10.0,0.01813793103448276,0.2333793103448276,0.5306551724137931
wpestop,Unrestricted popular sovereignty (wpestop),29749,29115,634,0.02131164072741941,7.836510389833419,2.0893336960673037,8.0,0.0,10.0,0.007384509702902284,0.30049802507298645,0.6304997424008243
votedir,Direct-democracy orientation (votedir),29749,29341,408,0.013714746714175266,7.824648103336628,2.265406350656466,8.0,0.0,10.0,0.011928700453290617,0.3242902423230292,0.6445928904945298
