model,model_label,term,estimate_log_odds,std_error,conf_low,conf_high,statistic,p_value,df,odds_ratio,odds_ratio_low,odds_ratio_high,term_type
M1,H1 adjusted,Intercept,-3.419119395319013,0.6346164578393582,-4.735233375680708,-2.103005414957318,-5.387694178244117,2.071463154811649e-05,22.0,0.03274125434974522,0.008780399460932465,0.12208894836327491,intercept
M1,H1 adjusted,"C(gndr, Treatment(reference=1))[T.2.0]",-0.12321029386826074,0.07939572946361662,-0.28786695890944936,0.041446371172927876,-1.5518503917105808,0.1349658688348226,22.0,0.8840777268859099,0.7498613479745846,1.0423172621003642,control
M1,H1 adjusted,"C(eisced_model, Treatment(reference=4))[T.1.0]",0.22940062370124392,0.3327719023840764,-0.4607260624082794,0.9195273098107672,0.6893629602071267,0.4978020735497502,22.0,1.2578458609460026,0.630825460538531,2.508104553275796,control
M1,H1 adjusted,"C(eisced_model, Treatment(reference=4))[T.2.0]",0.6160313786770141,0.19680487210958994,0.20788305477663943,1.0241797025773887,3.1301632529400982,0.004868948339928549,22.0,1.8515652800518958,1.2310691934685718,2.7848101507879837,control
M1,H1 adjusted,"C(eisced_model, Treatment(reference=4))[T.3.0]",0.5785193526294067,0.12413890492469674,0.3210710210269797,0.8359676842318337,4.660258224287859,0.00012030273794681085,22.0,1.7833958944587833,1.3786034872524702,2.3070454599756745,control
M1,H1 adjusted,"C(eisced_model, Treatment(reference=4))[T.5.0]",0.19011079516472382,0.10596858296876253,-0.029654595098145997,0.40987618542759363,1.7940297948568846,0.0865651578969788,22.0,1.2093835840880034,0.9707807880887258,1.5066312306624137,control
M1,H1 adjusted,"C(eisced_model, Treatment(reference=4))[T.6.0]",-0.24193139226483745,0.133917527339226,-0.5196593455339593,0.035796561004284355,-1.8065700365867863,0.0845284072172096,22.0,0.785110040325827,0.5947231085496375,1.0364449717174142,control
M1,H1 adjusted,"C(eisced_model, Treatment(reference=4))[T.7.0]",-0.6121380728153357,0.12288724266893632,-0.8669906157754291,-0.3572855298552423,-4.981298786762291,5.5125227670536014e-05,22.0,0.5421903863924616,0.4202142344302913,0.6995727203171961,control
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.AT]",0.3907390857606638,0.04737228694409398,0.2924949757022858,0.4889831958190418,8.248263087272763,3.541110311410987e-08,22.0,1.478072812854302,1.3397660051637044,1.63065731753067,country fixed effect
M1,H1 adjusted,"C(cntry, Treatment(reference='DE'))[T.BE]",0.6606209686940254,0.04329583039460175,0.5708309120861204,0.7504110253019305,15.258304614395238,3.482296667205902e-13,22.0,1.9359941529783729,1.7697369364863182,2.1178703360330884,country fixed effect
