model,model_label,term,estimate_log_odds,std_error,conf_low,conf_high,statistic,p_value,df,odds_ratio,odds_ratio_low,odds_ratio_high,term_type
M1,H1 adjusted,distrust_index_three,0.0842802736133854,0.11053363041755127,-0.14495244560723136,0.31351299283400214,0.7624853476268596,0.45386858386319334,22.0,1.087933770211326,0.8650634296987265,1.368223239743749,focal
M2,H2a adjusted,distrust_index_three,0.07632718584798028,0.10905989893845648,-0.1498492013488194,0.30250357304478,0.6998648136566898,0.4913466897167883,22.0,1.0793156532001318,0.860837779813805,1.3532425116086262,focal
M2,H2a adjusted,viepol,0.06313576066399369,0.013093278325113847,0.03598196337496856,0.09028955795301882,4.821997905818192,8.114437554772559e-05,22.0,1.0651714377973471,1.0366371488867552,1.0944911564453428,focal
S1,Expanded: + political interest,distrust_index_three,0.06741417583969526,0.11142834191477045,-0.16367406145854846,0.29850241313793896,0.6050002600887587,0.551368847981328,22.0,1.0697384462541615,0.8490187047052358,1.3478387897137813,focal
S1,Expanded: + political interest,viepol,0.0656751694559547,0.01277306298100171,0.03918545814501334,0.09216488076689605,5.141693073434154,3.740757553149767e-05,22.0,1.0678797808510991,1.0399633354377098,1.0965456064570032,focal
S1-U,Expanded unweighted,distrust_index_three,0.10289490208753704,0.07204368098533045,-0.04651454762060914,0.2523043517956832,1.4282293836219795,0.16726945806963708,22.0,1.1083749150646762,0.9545506740279045,1.2869876746938584,focal
S1-U,Expanded unweighted,viepol,0.051056496766658445,0.011106744914955221,0.028022517615452828,0.07409047591786407,4.596891092538816,0.00014040795197505992,22.0,1.0523823478036334,1.0284188417007025,1.0769042349877542,focal
