model,term,estimate,std_error,conf_low,conf_high,statistic,p_value,df
M2,distrust_index_three,0.01137280366606377,0.016116110552498796,-0.022049963968127348,0.04479557130025488,0.7056791791677317,0.4877934272697677,22.0
M2,viepol,0.009112217423713497,0.0019873625529462954,0.004990679748997188,0.013233755098429806,4.585080568316282,0.00014451293685032856,22.0
M3,distrust_index_three,0.010766289274638994,0.015495713260634645,-0.02136985312455447,0.04290243167383245,0.6947914622290867,0.4944592127740958,22.0
M3,viepol,0.0021755312016725884,0.0022650191679369986,-0.0025218310489983375,0.006872893452343515,0.9604912984705923,0.34724634183417646,22.0
M3,wpestop,0.007841990882754049,0.0034811419244610794,0.0006225444000626272,0.01506143736544547,2.2527064546407654,0.034586630583637146,22.0
M3,votedir,0.007528210471329782,0.00646742010078816,-0.00588439789451592,0.020940818837175485,1.1640206379066589,0.2568844561367245,22.0
