term,term_label,k,estimate,std_error,conf_low,conf_high,tau2,i2,q,q_df,prediction_low,prediction_high
distrust_index_three,Representative-political-institution distrust,23.0,0.16708295755900324,0.06063006412232815,0.04134390047041278,0.2928220146475937,0.081016690652651,0.9729858657571645,814.3884901969302,22.0,-0.43645577837740823,0.7706216934954148
viepol,People's views should prevail,23.0,0.047777594748834945,0.010752411922379732,0.025478457248001473,0.07007673224966841,0.0005184434883435561,0.20326053454917498,27.612539548987417,22.0,-0.004443577166128476,0.09999876666379837
