cntry,measure,measure_label,weighting,non_populist_n,populist_n,non_populist_mean,populist_mean,difference,se,ci_low,ci_high
FR,viepol,People's views should prevail (viepol),unweighted,638,157,7.230407523510972,7.828025477707007,0.5976179541960347,0.17119341269653177,0.2620850309203304,0.933150877471739
GR,distrust_index_three,Political distrust index,weighted,1135,568,5.70142609528348,6.4222777213162,0.7208516260327196,0.12481991455487251,0.4762090889518026,0.9654941631136366
GR,distrust_index_three,Political distrust index,unweighted,1135,568,5.683113069016152,6.431924882629107,0.7488118136129547,0.0974067885206514,0.5578980162627684,0.939725610963141
GR,viepol,People's views should prevail (viepol),weighted,1135,568,8.006232223426373,8.05882024242172,0.052588018995347596,0.10592833432197016,-0.155027701218032,0.2602037392087272
GR,viepol,People's views should prevail (viepol),unweighted,1135,568,7.957709251101321,8.022887323943662,0.06517807284234056,0.08590993756918579,-0.10320231070734809,0.2335584563920292
HR,distrust_index_three,Political distrust index,weighted,556,96,6.994716660012013,7.911105805668647,0.916389145656634,0.22819161449923317,0.469141799664089,1.363636491649179
HR,distrust_index_three,Political distrust index,unweighted,556,96,6.99220623501199,7.9375,0.9452937649880102,0.2150942009059586,0.5237168779289088,1.3668706520471117
HR,viepol,People's views should prevail (viepol),weighted,556,96,8.365224698724807,8.688673756927242,0.32344905820243497,0.22293823590093864,-0.11350185494029924,0.7603999713451692
HR,viepol,People's views should prevail (viepol),unweighted,556,96,8.370503597122303,8.729166666666666,0.3586630695443631,0.2172425158438015,-0.0671244374203599,0.7844505765090861
HU,distrust_index_three,Political distrust index,weighted,331,672,6.1421856142058875,4.542501457271633,-1.5996841569342548,0.14816414196807354,-1.8900805389919584,-1.3092877748765512
HU,distrust_index_three,Political distrust index,unweighted,331,672,6.173212487411884,4.549107142857143,-1.6241053445547404,0.13395569014804487,-1.8866536727691154,-1.3615570163403654
HU,viepol,People's views should prevail (viepol),weighted,331,672,8.149814035011145,7.906712486012682,-0.24310154899846292,0.1386797561037355,-0.5149088763465832,0.02870577834965743
HU,viepol,People's views should prevail (viepol),unweighted,331,672,8.154078549848943,8.004464285714286,-0.14961426413465695,0.12441159366427479,-0.3934565069758671,0.09422797870655322
IE,distrust_index_three,Political distrust index,weighted,758,283,4.949504165197007,6.6519373600865475,1.7024331948895401,0.20155687493835572,1.307388979173919,2.097477410605161
IE,distrust_index_three,Political distrust index,unweighted,758,283,4.96042216358839,6.670200235571261,1.7097780719828704,0.1600885554090673,1.3960102690440537,2.023545874921687
IE,viepol,People's views should prevail (viepol),weighted,758,283,7.9274755947062205,8.037637340886816,0.11016174618059527,0.17889836504773646,-0.24047260620606742,0.46079609856725795
IE,viepol,People's views should prevail (viepol),unweighted,758,283,7.91820580474934,7.897526501766785,-0.020679302982555825,0.14181726844322612,-0.29863604151712775,0.2572774355520161
IS,distrust_index_three,Political distrust index,weighted,527,62,4.570752450655534,6.297590161587311,1.7268377109317772,0.28564064552591084,1.1669923331802199,2.2866830886833345
IS,distrust_index_three,Political distrust index,unweighted,527,62,4.536369386464263,6.28494623655914,1.748576850094877,0.26911428255730113,1.221122548557231,2.276031151632523
IS,viepol,People's views should prevail (viepol),weighted,527,62,7.059759635290287,7.552557564885017,0.49279792959473045,0.313449120371404,-0.12155105731898153,1.1071469165084424
IS,viepol,People's views should prevail (viepol),unweighted,527,62,7.121442125237191,7.82258064516129,0.7011385199240987,0.27998462173851396,0.15237874509154103,1.2498982947566564
IT,distrust_index_three,Political distrust index,weighted,476,545,5.78011870504866,6.586606715817962,0.8064880107693018,0.1349883038763703,0.5419157968374674,1.071060224701136
IT,distrust_index_three,Political distrust index,unweighted,476,545,5.764705882352941,6.609174311926606,0.8444684295736646,0.12766080143021716,0.5942578565329195,1.0946790026144098
IT,viepol,People's views should prevail (viepol),weighted,476,545,7.453926411304363,7.541778315570579,0.08785190426621625,0.1249634521170304,-0.1570719612669589,0.3327757697993914
IT,viepol,People's views should prevail (viepol),unweighted,476,545,7.447478991596639,7.4990825688073395,0.051603577210700635,0.11874671552829079,-0.18113570850717248,0.28434286292857375
LV,distrust_index_three,Political distrust index,weighted,537,29,7.124122026057005,8.25542426060364,1.1313022345466344,0.435481309125289,0.27777455272071394,1.9848299163725547
LV,distrust_index_three,Political distrust index,unweighted,537,29,7.081315952824332,8.011494252873565,0.9301783000492323,0.4547569159157287,0.0388711231338944,1.82148547696457
LV,viepol,People's views should prevail (viepol),weighted,537,29,7.344317292584951,8.293791029940172,0.9494737373552207,0.3974201053438996,0.17054464414906323,1.7284028305613781
LV,viepol,People's views should prevail (viepol),unweighted,537,29,7.320297951582868,8.241379310344827,0.9210813587619597,0.3860564269343961,0.16442466597032446,1.677738051553595
NL,distrust_index_three,Political distrust index,weighted,970,146,4.33484310338424,5.538930763881889,1.204087660497649,0.16796886954342366,0.8748747256686318,1.533300595326666
NL,distrust_index_three,Political distrust index,unweighted,970,146,4.266666666666666,5.531963470319635,1.2652968036529693,0.1618292426463815,0.9481173164206682,1.5824762908852703
NL,viepol,People's views should prevail (viepol),weighted,970,146,6.463519911887896,7.372062525011587,0.9085426131236911,0.1865269835280338,0.542956443263849,1.2741287829835333
NL,viepol,People's views should prevail (viepol),unweighted,970,146,6.393814432989691,7.383561643835616,0.9897472108459251,0.18061498119480382,0.6357483526357305,1.3437460690561198
NO,distrust_index_three,Political distrust index,weighted,943,89,3.808877681180691,5.397795178292852,1.5889174971121611,0.35029232209454625,0.9023571617459463,2.275477832478376
NO,distrust_index_three,Political distrust index,unweighted,943,89,3.620007069635914,4.910112359550562,1.2901052899146475,0.23053232199439294,0.8382702415332464,1.7419403382960486
NO,viepol,People's views should prevail (viepol),weighted,943,89,8.117382229675398,8.061734778305299,-0.05564745137009908,0.28001064085778116,-0.6044582227393299,0.49316331999913177
NO,viepol,People's views should prevail (viepol),unweighted,943,89,8.138918345705196,7.887640449438202,-0.2512778962669939,0.18844191462588605,-0.6206172621115023,0.1180614695775144
PL,distrust_index_three,Political distrust index,weighted,784,564,8.439267337355908,6.494483298308804,-1.9447840390471036,0.11111905190979957,-2.1625733787865475,-1.7269946993076597
PL,distrust_index_three,Political distrust index,unweighted,784,564,8.421343537414966,6.504728132387707,-1.916615405027259,0.10983692972440108,-2.131891831459542,-1.701338978594976
PL,viepol,People's views should prevail (viepol),weighted,784,564,7.4959637180032646,7.827760526727495,0.33179680872423045,0.13016238456333967,0.07668322283823242,0.5869103946102285
PL,viepol,People's views should prevail (viepol),unweighted,784,564,7.516581632653061,7.849290780141844,0.33270914748878333,0.12803047199157613,0.08177403346162998,0.5836442615159367
SE,distrust_index_three,Political distrust index,weighted,1516,221,5.049080213297793,7.21948610292464,2.1704058896268474,0.15309223278949866,1.8703506270466081,2.4704611522070867
SE,distrust_index_three,Political distrust index,unweighted,1516,221,4.970316622691293,7.046757164404223,2.0764405417129304,0.13666672247890813,1.8085786877691399,2.344302395656721
SE,viepol,People's views should prevail (viepol),weighted,1516,221,6.898236161147405,7.521660197462468,0.6234240363150638,0.17840752402708207,0.2737517146510186,0.973096357979109
SE,viepol,People's views should prevail (viepol),unweighted,1516,221,6.928100263852243,7.470588235294118,0.5424879714418749,0.1634045328603455,0.2222209721250059,0.8627549707587439
SI,distrust_index_three,Political distrust index,weighted,150,405,6.66132851434649,6.4834678722836205,-0.17786064206286945,0.19203683254453874,-0.5542459175553147,0.19852463342957583
SI,distrust_index_three,Political distrust index,unweighted,150,405,6.673333333333333,6.485596707818931,-0.18773662551440218,0.18921143611927077,-0.5585842257712741,0.18311097474246968
SI,viepol,People's views should prevail (viepol),weighted,150,405,8.109595908693024,8.170533545619184,0.06093763692616072,0.21396511988503578,-0.3584262919963043,0.48030156584862577
SI,viepol,People's views should prevail (viepol),unweighted,150,405,8.093333333333334,8.14074074074074,0.04740740740740712,0.21180812587893028,-0.3677288909482224,0.46254370576303666
SK,distrust_index_three,Political distrust index,weighted,220,531,6.37601277814993,6.562426556718309,0.18641377856837948,0.22495386194499917,-0.2544876890270143,0.6273152461637732
SK,distrust_index_three,Political distrust index,unweighted,220,531,6.18939393939394,6.524168236032642,0.3347742966387015,0.20078620168958547,-0.05875942726548139,0.7283080205428845
SK,viepol,People's views should prevail (viepol),weighted,220,531,7.665694393091015,7.948701941436265,0.28300754834524966,0.220744191531667,-0.14964311685322923,0.7156582135437286
SK,viepol,People's views should prevail (viepol),unweighted,220,531,7.786363636363636,7.983050847457627,0.196687211093991,0.18061371678300403,-0.15730916891461438,0.5506835911025965
