model,term,estimate_log_odds,std_error,conf_low,conf_high,statistic,p_value,df,odds_ratio,odds_ratio_low,odds_ratio_high
Single: viepol,viepol,0.061777101598532655,0.013766706663954057,0.033226699414423466,0.09032750378264184,4.4874277564354745,0.00018341753615656723,22.0,1.0637252156510002,1.033784871103773,1.0945326886082705
Single: wpestop,wpestop,0.0853171475871929,0.01401781028812611,0.056245988359660194,0.11438830681472562,6.08633915237542,3.986407298866996e-06,22.0,1.089062405448019,1.0578578724564003,1.121187405077527
Single: votedir,votedir,0.08121949959060605,0.03557279747968365,0.007446032947485942,0.15499296623372616,2.283191240075852,0.03243964238945454,22.0,1.0846089416590663,1.0074738235846588,1.167649748100823
