term,term_label,value,estimate,std_error,conf_low,conf_high,statistic,p_value,df
distrust_index_three,Political distrust,0,0.18334522829918432,0.0859214439391568,0.00515505975834149,0.3615353968400271,2.133870427375683,0.04424869312903621,22.0
distrust_index_three,Political distrust,1,0.19292200731251902,0.0749293994438716,0.03752794381165084,0.3483160708133872,2.57471711697134,0.01728540718910287,22.0
distrust_index_three,Political distrust,2,0.20282059873377942,0.06299758367659948,0.0721716066038495,0.3334695908637093,3.219498064798275,0.00394643519605341,22.0
distrust_index_three,Political distrust,3,0.21303858978752577,0.050129564522974915,0.109076236017571,0.31700094355748054,4.249759434672286,0.00032782268443459295,22.0
distrust_index_three,Political distrust,4,0.2235726351234905,0.03633420222691134,0.1482201116813206,0.2989251585656604,6.153228127240919,3.4138877962378695e-06,22.0
distrust_index_three,Political distrust,5,0.2344184447500502,0.02162577016219523,0.18956934243799103,0.2792675470621093,10.839773242381229,2.729248179161545e-10,22.0
distrust_index_three,Political distrust,6,0.24557077529955282,0.006024182200103719,0.2330773860786109,0.25806416452049474,40.76416800529785,3.2070099097560447e-22,22.0
distrust_index_three,Political distrust,7,0.25702342449266813,0.010446194045668274,0.23535934399925731,0.27868750498607897,24.60450412552389,1.6853532001489447e-17,22.0
distrust_index_three,Political distrust,8,0.26876922869172415,0.027753180958391282,0.21121265415344964,0.32632580322999866,9.68426751134128,2.1571136211302044e-09,22.0
distrust_index_three,Political distrust,9,0.2808000634706809,0.04586106480594789,0.18569003630422445,0.37591009063713743,6.12284221177226,3.662763331085324e-06,22.0
distrust_index_three,Political distrust,10,0.2931068471790031,0.06472783061895566,0.1588695425144974,0.4273441518435088,4.528297092242826,0.00016599652084378687,22.0
viepol,People's views should prevail,0,0.18434757488550463,0.012141203295715334,0.159168260358573,0.20952688941243625,15.183632988878575,3.8445168251926635e-13,22.0
viepol,People's views should prevail,1,0.19226808612715784,0.010838250902982438,0.16979092947627608,0.2147452427780396,17.739770729449535,1.6076610496872435e-14,22.0
viepol,People's views should prevail,2,0.20040717889009063,0.009444042020908417,0.18082143449077476,0.2199929232894065,21.22048784264236,3.8497544509377794e-16,22.0
viepol,People's views should prevail,3,0.20876344241117972,0.007958886919856597,0.19225772117759551,0.22526916364476393,26.230231000058136,4.312135555910003e-18,22.0
viepol,People's views should prevail,4,0.21733503745149282,0.006383464640745771,0.20409654205313252,0.23057353284985313,34.04656400291455,1.5876473965791275e-20,22.0
viepol,People's views should prevail,5,0.22611969294484216,0.004718874042209549,0.21633334715787236,0.23590603873181196,47.91814549874374,9.501409294233276e-24,22.0
viepol,People's views should prevail,6,0.2351147037551421,0.002966856150561575,0.22896182068814702,0.24126758682213717,79.24708574449723,1.5805276219744428e-28,22.0
viepol,People's views should prevail,7,0.2443169294846102,0.0011322223044380672,0.24196884414055586,0.24666501482866454,215.78529987171294,4.383301542492013e-38,22.0
viepol,People's views should prevail,8,0.2537227942754167,0.0008102941013163595,0.2520423471616152,0.2554032413892182,313.1243259246643,1.2180014572999885e-41,22.0
viepol,People's views should prevail,9,0.2633282875509415,0.0028081381997935046,0.25750456536743727,0.26915200973444575,93.77326499468768,3.937913271307984e-30,22.0
viepol,People's views should prevail,10,0.2731289656491307,0.004891566563754322,0.26298447749270076,0.2832734538055606,55.8367063167391,3.3730041642874946e-25,22.0
