model,term,estimate,std_error,conf_low,conf_high,statistic,p_value,df
Single: viepol,viepol,0.009112217423713497,0.0019873625529462954,0.004990679748997188,0.013233755098429806,4.585080568316282,0.00014451293685032856,22.0
Single: wpestop,wpestop,0.01255907076578536,0.0020324856488894544,0.008343953517652084,0.01677418801391864,6.1791682379885975,3.2151236027893934e-06,22.0
Single: votedir,votedir,0.011967556857319634,0.005055088347040407,0.001483945278517057,0.022451168436122212,2.3674278342387938,0.027126239458989333,22.0
