vote_type,n,countries,weighted_mean_distrust,weighted_mean_viepol
incumbent_populist,2864,8,5.984464587257336,7.811508702647511
non_populist,21208,23,5.883909030454786,7.114627105742878
opposition_populist,3942,21,6.855159314488376,7.697869343824171
unresolved,75,3,7.361547665625515,8.878377512189239
